# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;Cons-Other
# prediction_type;rolling
# method; Part-GFS_te(n_components=7)
"Cons-Other";"IP.PCCR";"Exports";"PEXP";"Emp.FtPer";"HStartsTotal";"PIMP";"COMMP"
1.838129532;10.67711804;-9.231222163;15.99634528;2.168300298;-0.58813261;16.5049144;-4.479354973
1.594098051;-34.90364655;15.33113769;-12.45508863;0.284870476;-4.232595788;-13.98782599;33.45120644
-1.860399795;6.293148488;5.101430144;11.85468549;1.286091373;1.768783349;13.67777927;-40.46113822
-1.660984146;-9.477244903;4.551273888;-3.524516759;1.985388499;2.119849292;-5.557241163;11.3461737
3.66866477;-6.039369885;1.413381917;10.06662791;-0.576945126;12.70604066;4.391727357;54.65451707
2.963519882;0.810537258;16.99567139;-10.41435593;-0.452827741;25.37958863;-13.35645553;-31.27225158
-1.376332849;-12.75172252;-2.811197428;-27.50750947;-0.286611728;9.733005999;-27.45588127;17.0301058
4.027761139;-14.03652792;6.594704024;3.940006154;-1.83450539;5.223758171;3.159686992;-18.12831768
3.901342201;5.588484239;13.11168977;-9.753341325;0.722776864;-2.564792994;-10.36377166;7.148116308
-0.258908995;-1.711232556;-2.596057377;14.5634188;2.414821192;-3.080967644;14.3868142;-49.97606163
4.976113363;-3.444585334;11.506383;-2.154749668;0.453338751;0.791859121;-0.57599516;22.04420941
1.446861395;15.68828526;5.355366677;-14.80043237;0.936599686;7.222128449;-16.45655773;20.69719885
