# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;Emp-PtPer
# prediction_type;rolling
# method; Part-GFS_granger_graph(n_components=10)
"Emp-PtPer";"Cons.RenDwe";"Cons.PurVeh";"HStartsVIC";"Cap.IntPro";"Gov";"Gov.NatLoc";"RetSales";"LabForce";"HStartsNT";"ExrateGBP"
-1.463508007;2.953371009;36.3032412;0.096669632;11.82040661;3.278421003;1.94394596;10.06795054;2.714824754;-20.50383135;-1.68839481
3.610305215;2.711803533;0.697471842;13.75678849;26.97380423;3.878323864;4.339641405;4.264375987;2.820446107;4.025528776;16.12571036
5.261281207;2.537436883;0.596866562;-6.03156543;24.06485862;1.757369523;4.083366483;10.27094559;2.772678081;16.99046656;3.774062013
-0.921339972;2.593840957;17.50400809;17.53824998;12.46812131;4.000680814;5.100780751;6.505515881;3.077722316;-19.40091912;15.2363984
6.920488054;2.52574904;-7.394280898;4.520535801;10.23073672;3.416804205;2.174036549;1.086091464;2.486332887;-69.66460886;20.14643817
4.119933797;2.499687992;-11.10500016;-71.8712981;5.913084091;2.727275678;1.450021877;0.62858446;3.145052268;-0.960384615;16.16696184
-3.957134571;2.474014275;-49.9257698;-32.23369674;-6.587052237;12.89247248;4.980742757;2.877399668;1.97393257;-50.85663785;-13.97707047
8.194563308;2.640340387;-4.998644999;5.353068055;5.052915864;0.878454016;2.074831417;8.439879848;1.624146463;75.10648657;-22.24518221
3.129627608;2.753226304;-5.873144234;45.41883019;-0.051239352;-2.361988663;2.190800433;9.720221025;3.678392413;28.52116852;20.14196161
4.008117782;2.883560549;-9.865444276;22.4262802;-3.138077956;-1.163462281;1.001436794;7.571974528;1.37188921;17.31634179;24.04758772
8.478425672;2.951750512;10.56089505;0.135678443;1.752128542;3.718968122;4.220542108;-4.148195402;0.575865179;-37.47899725;25.21992971
4.066098272;2.910533982;20.76044015;-20.01733629;0.719239855;1.42269867;0.697381095;6.613947523;1.531212494;-60.48033004;24.54119336
5.322869507;2.889508856;11.91531371;-33.77052602;9.635354321;5.84976417;5.197092314;0;1.747266166;-22.25739663;18.03439787
-3.627847626;2.897755777;37.3665879;-16.90097334;7.79035974;5.003172503;0.676940596;4.985336008;0.999302508;-61.11568369;4.248070075
2.732081447;2.924847668;-20.33829534;8.126406254;-2.069224962;-1.121054148;-1.571025367;4.115120836;2.723259236;-0.847457987;0.567552864
2.919042155;2.703713555;-19.06119783;15.58848035;1.72509663;6.408200016;3.544015809;-1.308045705;3.220689095;-42.47425865;27.79975911
-1.307296193;2.534207108;22.01624885;-11.16032848;10.8199938;3.184377794;3.067873633;3.424538835;1.242564353;21.5772329;1.773745187
1.617353478;2.396007541;-35.54358103;8.602243785;10.81466026;4.19668392;4.738188065;2.505734297;-0.283091943;-4.042707068;14.54404818
2.747773194;2.297590337;29.40535316;-6.378557083;15.58074874;2.777537351;5.502259322;3.764582641;2.289557476;11.56921583;-3.120633831
0.415534679;2.32165778;6.848257218;-2.986382275;10.04533128;2.710573774;0.96549393;2.9812853;0.831473872;33.22981766;1.206266957
0.554704813;2.345232261;17.83798164;9.759557241;-2.235009923;5.484579173;7.757015649;1.305264856;1.646586644;32.17229634;9.282095675
3.818095389;2.340750834;27.16399274;7.123460839;10.96671605;5.020532953;2.242411888;7.551000129;1.208188205;-26.95918989;-16.74123069
-0.24102452;2.299725741;10.01617278;-3.187698265;1.79181187;-8.377146329;-2.271366273;2.543227038;1.359173884;25.84030804;8.905938804
-0.593301733;2.38648975;25.40672105;6.691745749;6.334591846;-1.465115839;-3.334079539;-0.228291077;1.516368419;17.53705515;-5.839519768
7.47032932;2.309135396;-26.11390356;11.42183557;-6.292027334;4.137302698;3.604238992;4.760865294;2.488517448;-9.037890095;17.44673876
2.505756913;2.268947695;9.097265061;11.3668405;5.705025132;0.719796055;2.614953914;1.758672695;1.144612461;-15.27898838;-23.20522482
1.429791091;2.15793237;6.689692799;26.66484602;-0.882121649;3.970910882;-0.920974145;4.233994097;0.395070432;2.650269951;-35.97313636
4.365523099;2.226284744;0.764737355;-13.00312104;-5.291362413;2.733760823;3.185590874;8.147526843;0.477952536;-20.12029535;-12.897585
2.813575176;2.266947247;-0.679694301;-3.590539279;7.22109872;1.579371895;-0.266882724;7.291807886;1.843963353;26.8557211;-16.39682654
-1.707778065;2.262952489;4.733783059;0.863889012;19.44033036;0.525074545;3.389488719;1.28123847;1.334757259;8.081083;9.692426234
2.575907606;2.162901099;-5.159179249;5.22195521;-21.11783335;2.752548267;3.314129821;5.249261294;2.189523312;25.70175591;-2.268072671
2.180866542;2.220752267;-3.763123757;11.41189898;5.55071769;1.896767059;3.872337414;5.181265955;1.293977475;-19.56721987;-8.461007235
