# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;Unum-LFT
# prediction_type;rolling
# method; Part-GFS_granger_graph(n_components=15)
"Unum-LFT";"RGDP";"Cons.OpeVeh";"Cons.Other";"Cons.Final";"DomSales";"Cap.MacEqu";"HSexfinVal";"IP.Man";"SPASXAllOrds";"IP.PCCR";"Emp.PtPer";"Emp.HoursPt";"X90daysBkbills";"M3";"Credit.Per"
-3.899543491;3.328738573;5.083727264;11.39803145;6.274287668;-2.261124519;-28.48580569;21.12348655;5.321586251;2.358966422;12.82285615;6.597227946;5.643832861;0.093333334;1.357410298;-0.639254095
3.600924544;7.198163037;7.756539299;12.60323598;7.492349327;10.4253172;3.050431391;-14.43904771;1.758244589;-18.79416711;-6.943279444;1.693002217;0.63324552;0.063333333;4.402479425;3.622512959
-30.42701887;5.671514142;8.766858367;0.784467794;3.977668252;9.079367644;-3.731475824;23.32848898;4.795697771;23.08231452;1.940809242;5.824951718;5.53619022;-0.293333333;-5.235260191;-0.614601914
-19.01674932;3.077664237;1.774822657;7.556182774;7.333887198;-0.794682007;4.106464133;39.28008225;2.591801724;23.89648985;11.07469307;-0.555385612;2.904117871;-0.046666667;2.908578534;5.323823081
-13.94367184;1.898103872;0.61933213;-0.92390648;3.336815966;3.764890003;-8.791562688;44.03820021;-10.91175137;10.35792748;-4.16473237;3.000639202;3.394775644;0.06;2.581579949;-8.970291822
-7.035118333;3.609118265;-6.461456158;-0.668595463;3.772937053;11.03300834;17.87064994;15.42928782;1.325235889;-5.265155561;14.94104598;0.847288536;3.854846915;0.09;-3.158642038;0.04652267
-5.351804;6.618342439;4.289585345;1.848764364;5.150887522;6.777165486;9.557880747;37.13043925;2.199015984;10.20212862;11.91961785;5.320986604;8.11314916;0.526666667;-0.109605026;-6.671237571
-7.20184787;2.917270031;-0.533689205;-2.570042252;1.259151845;6.046930903;1.071812002;-14.47768562;18.00947255;12.29157462;-3.933871671;3.56436557;5.295871719;0.316666666;-3.950219633;-4.727422549
-17.57254095;3.106348663;2.705560018;6.039009281;3.200261675;10.05326631;28.20323633;-64.00003887;-6.765488977;0.78088358;-42.42382878;5.319112559;2.767507713;0.41;3.259031545;13.99739304
-13.88882289;0.272487352;1.720243044;4.947059523;4.533574125;-2.025140889;7.771070887;-14.82999564;7.18455659;14.15924452;47.42389389;5.818325646;4.144718782;0.226666667;-0.081480652;-38.43039094
11.51809433;-1.764559597;-14.70358281;3.347299868;1.816838897;-17.61143553;-24.92504733;5.995979006;1.254574996;-5.835780477;-21.50859781;-1.426890993;-5.522394617;-0.106666667;-6.229861344;35.61415707
8.847772243;5.075855603;12.18687933;11.04025923;3.9823652;8.111391254;9.669594817;42.96064841;-9.720499473;3.404883502;2.613168417;6.372962013;12.02905385;-0.766666666;8.08953454;-8.579811921
26.02612413;2.906719607;4.580034625;0.918484904;2.928703691;6.507065824;2.263423969;61.35633776;5.101025559;14.24074737;31.12879874;11.09392446;12.9482817;-0.64;2.789176219;5.641498938
11.65104844;4.512751483;-4.757241406;2.407035787;1.260611179;4.688907471;-2.873697015;35.6059235;0.84388217;-22.01146794;-19.03442804;9.798283651;9.711572965;-0.06;-3.305581149;-0.892887608
5.413656014;4.175155576;5.457230647;1.963017884;2.870532357;12.13174407;6.361896213;13.24758769;8.754909155;14.32372854;-8.022146725;0.827737344;-0.380589048;-0.55;7.366045557;-2.422596038
-16.16677544;3.320078483;4.304155436;2.808031045;4.857811753;9.999914028;7.148957457;10.6625762;3.694228413;12.18463149;14.82320542;5.211595582;6.26832091;0.046666666;-3.871059942;3.038102431
-19.66422117;6.240952365;4.856880173;5.136431538;6.665551306;16.81424651;11.82925342;-13.73786441;3.660422087;-13.58391814;15.31953982;2.260185843;2.036354266;0.49;-19.32966715;13.73830719
-12.70408403;1.510204053;6.357412907;2.194600731;5.301534301;7.035231301;-1.915406693;-7.64853719;0.808898152;-32.03002218;4.078200152;4.891142016;9.204973638;0.12;16.07548093;-11.95612799
-6.506623953;3.236882989;-0.252365939;6.191644937;1.737539097;16.06403388;57.84787584;6.296364249;6.412963012;-1.725992724;-2.033902687;6.814923301;8.775863337;-0.096666666;2.2617256;-0.869554518
7.507360369;0.135776366;2.809088637;1.236052486;1.901560332;3.666838111;-11.20427047;30.3273274;8.653238142;-19.74646659;32.61789951;5.618132947;5.91968713;-0.086666667;1.57806292;1.756369049
-4.166550434;3.065300223;4.610882355;0.091407679;4.345586983;-1.51621387;-2.084304655;31.72016156;-5.090621816;17.69132351;-58.22945168;1.62530564;0.997256701;-0.023333333;-0.811191176;-2.060950254
-9.955026854;6.135649205;-3.401098881;4.860106347;5.175816747;8.839219081;22.97308593;27.42767938;-1.975312656;23.2748403;1.446656188;-2.755543965;-3.621847207;0.07;-6.645139074;4.39532055
-17.14170289;6.532693146;8.24516465;8.044963915;8.216166005;15.35807742;-8.412737542;-12.33229808;4.332883332;12.38507252;21.09451843;-1.168290417;3.787803186;0.433333333;8.378436701;-2.508044908
-16.74753778;2.996086065;4.180869155;5.100091074;6.119111563;7.309888965;-3.075765908;-45.64696906;5.833841862;11.62013356;-0.342612441;-0.59789254;0.104045075;0.293333333;-2.884334798;-2.591313356
-4.198289268;2.251214891;-0.20194881;7.744549961;3.900853069;1.806788466;7.795584681;17.63633732;-3.490085156;12.6025415;-9.714267536;4.067898885;3.600186375;-0.03;-1.886421766;-1.635390229
-1.174054296;3.452363018;18.66676552;8.814849777;5.303823523;7.8130479;19.3822436;10.40605942;-4.307432716;14.65108063;18.8633322;0.552418101;0.814116968;-0.073333333;-1.766106632;3.300181752
-24.91387489;2.855261328;4.104567304;6.815749318;3.829376698;14.22929811;31.78711238;15.78957249;-1.577911316;35.45877646;-11.90058025;6.259755645;4.709481305;-0.023333333;0.88467141;4.068348045
1.106797761;3.478460043;-8.251690348;1.398602823;0.233313997;-1.17793805;-9.817039936;31.70438789;1.577911316;19.27317488;-14.76441771;4.578591347;9.765397991;0.203333333;-0.044115072;-1.69227159
-1.715053989;2.089582331;2.408241883;6.112588388;5.404922828;15.02730746;24.01245828;-11.79658064;-0.393894665;-3.914345358;2.854606228;2.834636879;1.263343626;0.076666667;0.472340625;-2.984409119
-6.315825786;4.864112139;-5.576497825;7.412442293;2.754253805;8.67878124;13.95503598;18.59124864;3.14034979;34.6956457;7.746720996;5.576832623;8.447286884;-0.066666667;-1.450504143;4.776358998
9.276820284;2.96288629;-1.652732307;4.107461053;2.154680085;8.108290711;26.6758281;22.24731459;-7.897591196;10.41676432;-19.28945158;2.206340022;-0.02343173;0;-0.549842478;-4.62261024
-0.604686363;0.865102462;2.006002533;11.1209759;3.423062252;3.313854042;2.399652467;8.665341423;0.398604916;31.97959326;-1.834024304;0.317534502;-0.505782249;-0.013333333;4.678701304;-2.203460918
-19.8864427;1.027268677;-3.190720547;10.11279218;4.806048562;7.218313013;-20.09379584;21.82653457;4.752531155;9.781206352;9.446397229;4.636132346;6.283234052;0.223333333;3.590068608;0.955471473
-2.36387349;4.191102296;6.472950549;6.211419757;3.701804759;3.611290328;-4.664775899;2.299096065;0.393507164;-1.670443056;-39.20272426;3.404432273;2.416828546;0.31;-4.809332705;8.861874194
-7.099991787;6.262424786;7.249788737;2.450517425;5.3097325;8.388323808;-9.360032989;-13.08778384;10.48094896;33.1465408;36.68132915;2.103478796;5.657589158;0.196666667;2.205649803;-3.598313037
-6.176536619;6.132959408;9.516166735;9.013450323;8.382409828;15.96013419;26.621732;21.40586428;-1.920310937;25.74583947;4.670012632;-1.463508007;-6.090947932;0.063333333;2.016673121;-1.801106385
-20.7999757;3.302626747;-1.121076967;3.47859145;3.575477029;11.70763615;25.85515211;42.91927876;-4.646712468;27.68038635;6.025811785;3.610305215;4.171125864;0.013333333;4.212524824;4.659243477
-10.75702065;2.944304662;1.978446477;10.46449634;5.469490193;1.376167478;7.870396552;-2.838613441;7.332573879;4.356673473;-12.50660162;5.261281207;6.417882121;0.296666667;2.60752909;-0.370698034
8.908683433;2.258276194;3.854022774;8.58343562;5.965596282;11.39267405;7.96689225;-8.941989509;2.667947004;16.01847603;6.837773344;-0.921339972;-1.531950403;0.396666667;5.25545062;-5.662434797
-26.59563929;4.970717944;-1.033973988;4.223620906;1.83758818;10.81963685;3.082207031;-22.89364676;13.07916611;-66.03702466;7.423986858;6.920488054;9.765972286;0.473333333;-12.61812654;-5.678386397
24.03496968;1.356216846;7.218626722;-5.540022246;-2.100186002;8.59318289;13.85806987;-72.15594595;5.114224919;-0.419746194;-7.067321653;4.119933797;3.414342365;0.21;-2.439446588;-4.444080829
4.859526422;2.772254116;-16.23045916;-2.986354755;-1.226324483;3.354216809;-10.9311124;-9.560478064;-8.436809782;-47.16034035;-11.94118526;-3.957134571;-3.706896934;-0.356666667;8.626602872;-8.307292407
28.89399344;-3.246171797;-17.43018352;1.665606826;-1.097966474;-3.918361808;-10.6967932;26.77612533;-22.10085884;-110.0872705;-35.30574119;8.194563308;9.238885418;-2.383333333;-1.721650444;-6.442417009
83.48867989;3.979643032;1.104537191;6.326902896;0.887543631;-2.8812948;0.328383454;90.74648935;-17.62046645;-37.30014961;-29.98281298;3.129627608;-0.145117457;-1.706666667;-8.607026072;0.304273657
46.0196691;1.931596097;3.334496827;2.861194933;3.962386861;-0.48033286;-4.563488583;35.30598759;3.261995652;43.9995494;36.35110669;4.008117782;0.872104914;-0.193333333;-3.49839085;0.849131864
1.868905447;1.611806653;12.38560487;5.007477684;0.786528331;-1.174668141;-23.15642731;-2.554973287;-0.406297648;63.13159716;-0.790514091;8.478425672;9.566732056;0.11;-0.565408426;13.61947316
-13.4679714;2.88338048;1.285688382;7.138411382;4.07393607;14.60710257;39.83427448;-24.4087994;17.49781959;22.29309661;15.14008965;4.066098272;4.233497867;0.683333333;-6.100199357;4.390727394
-21.43630024;1.523026721;-3.678971556;3.266893009;1.351573579;0.445137233;-43.1174098;-48.51787528;4.642218448;-2.931014722;13.11592913;5.322869507;7.950202934;0.276666667;4.995922418;0.043926929
-4.755511182;2.435515384;4.659364204;7.645758409;5.5553161;3.324202705;-24.78878552;-21.05290393;-4.253302521;-15.24467063;-20.03252797;-3.627847626;0.054872756;0.52;4.057936059;-1.668398882
-20.21306194;1.991786174;3.823117559;7.010648631;3.512579046;6.2808017;-16.08006372;-5.285709074;-2.730386028;-0.858974852;-11.80026576;2.732081447;1.762516548;0.05;1.365670673;-5.158593886
-1.020408748;4.390007135;8.306329576;0.153721996;4.254576679;2.14433004;23.64446924;1.571326212;-1.175895016;19.36024269;27.75679737;2.919042155;2.357685376;0.153333333;2.11928549;1.525232071
-7.281715352;-1.500973447;9.745135963;2.573735421;2.603698419;9.356407329;10.89423554;-12.21836696;-7.128901563;12.30808195;-17.89922606;-1.307296193;-0.087424857;-0.02;-2.148891482;1.149953602
6.194671314;5.333531171;-0.321041619;4.796657357;3.055585571;2.266206158;7.684065614;6.045715179;11.42372076;-9.763010263;19.01498689;1.617353478;1.144468705;0.03;-3.820670455;1.145832897
17.93657557;4.657879989;-4.233223367;3.515251527;1.582090143;18.29226336;24.69484471;-7.357629894;4.633256436;-41.2910808;13.15186965;2.747773194;3.839174798;-0.086666666;1.96483106;-5.074170305
4.98903716;3.97991576;-1.553821006;2.653458842;1.03424264;0.191679973;0.097734992;7.818483883;-3.857310509;-8.885879677;-15.01320386;0.415534679;3.217278333;-0.256666667;0.023020248;-3.343859303
-1.696586593;4.117594698;0.723458327;1.838129532;5.179941135;14.87641528;2.765750903;-6.009036541;1.161103863;14.81674132;10.67711804;0.554704813;-1.456186134;-0.213333333;-0.616591365;3.056475653
-10.58279064;2.328691535;-4.689470715;1.594098051;1.688684422;3.464300014;7.194230955;7.34455614;-15.36377925;-12.29000639;-34.90364655;3.818095389;-1.453744151;-0.623333334;0.54295318;2.945406336
31.89476441;2.215612944;0.840144595;-1.860399795;1.745011868;2.875580125;-4.274015891;11.45567516;6.769698666;9.260377305;6.293148488;-0.24102452;-2.30596504;-0.23;-0.245842158;-14.1337464
0.977503512;2.222377647;2.147118834;-1.660984146;1.224275362;-0.552665696;-14.07988496;5.053933163;-2.773661436;20.43753182;-9.477244903;-0.593301733;-1.01236748;-0.383333333;-2.375020935;15.33562987
11.68689224;0.952585653;-2.841024509;3.66866477;1.210988774;-3.313061077;-32.22005191;21.56035764;-3.193629739;35.77120472;-6.039369885;7.47032932;8.548189308;-0.17;0.541338283;1.841014054
23.18704713;3.113451114;0;2.963519882;1.359660155;1.272935456;-1.756147974;14.88382297;-6.057662466;-3.83936406;0.810537258;2.505756913;3.289809079;-0.12;2.189944237;-0.723716742
-1.133257197;1.34967792;0.365363562;-1.376332849;3.215747092;3.531045017;-6.417659908;10.40757382;1.624367715;13.77800279;-12.75172252;1.429791091;2.149937562;-0.233333333;-3.964415946;9.404028177
10.95958965;3.447181698;0.109544024;4.027761139;2.327372415;1.722251805;-25.45640276;21.31257135;2.021227141;18.02861555;-14.03652792;4.365523099;8.888657188;-0.053333334;3.399389131;-2.900496925
7.277554484;3.574058921;-1.829661959;3.901342201;2.168280707;2.93163109;21.61821917;8.936840507;-11.03800238;-1.59943676;5.588484239;2.813575176;0.244500585;0.043333334;-0.212355994;-9.975722403
3.464746744;2.482873349;-1.285761313;-0.258908995;2.49262585;1.3313944;-11.19001513;1.411150213;6.577743291;7.495704367;-1.711232556;-1.707778065;1.850586962;0.053333333;-0.15526711;2.431025189
10.5343903;1.519985819;0.183933419;4.976113363;2.119232318;-5.740467721;12.05849147;-11.16867653;-3.686662042;5.303225907;-3.444585334;2.575907606;2.056818299;-0.043333333;1.062691967;33.72514587
-4.480810789;2.185723381;0.257364777;1.446861395;3.21746141;2.112309081;2.439437621;13.70189412;0;-8.621977198;15.68828526;2.180866542;4.704653144;0.093333333;-2.420783761;-32.7850797
