# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;IP-ME
# prediction_type;rolling
# method; Part-GFS_granger_graph(n_components=10)
"IP-ME";"Cons.OpeVeh";"Cap.IntPro";"ExrateJPY";"Unum.Total";"Cap.MacEqu";"PIMP";"IP.Man";"IP.MP";"Emp.HoursPt";"EXrateKRW"
-11.22151512;-1.652732307;9.937449748;10.12201333;6.673426544;26.6758281;-3.352007911;-7.897591196;-4.237826573;-0.02343173;-11.08368245
-12.8490705;2.006002533;9.401663915;-4.067674975;2.149523162;2.399652467;-4.074692506;0.398604916;20.75393415;-0.505782249;-26.65438629
-4.816697502;-3.190720547;19.22097159;-2.314165161;-12.76131545;-20.09379584;-2.180407083;4.752531155;18.01512582;6.283234052;0.420994568
4.381204808;6.472950549;24.46891697;12.88975726;-9.11225137;-4.664775899;5.577662408;0.393507164;11.01764567;2.416828546;5.962114686
12.86284465;7.249788737;12.04812284;15.54555724;-12.11558272;-9.360032989;3.717695541;10.48094896;19.97358368;5.657589158;3.808548414
-1.691334444;9.516166735;11.82040661;9.192839813;2.135967285;26.621732;6.043122675;-1.920310937;-9.658416922;-6.090947932;6.45189877
-3.831854743;-1.121076967;26.97380423;29.53481483;-17.41589434;25.85515211;18.14811729;-4.646712468;-20.04594805;4.171125864;16.19251119
-4.733783059;1.978446477;24.06485862;-6.398224968;-0.313915787;7.870396552;5.371601459;7.332573879;24.90430737;6.417882121;8.281113077
1.727864458;3.854022774;12.46812131;4.537111874;11.75893403;7.96689225;10.84120158;2.667947004;24.20250304;-1.531950403;17.64238733
21.80833555;-1.033973988;10.23073672;-22.9801191;-24.66936314;3.082207031;-1.030194019;13.07916611;26.02841991;9.765972286;25.58885863
22.99939682;7.218626722;5.913084091;19.36523636;18.38278105;13.85806987;10.53723169;5.114224919;5.638859902;3.414342365;41.39710797
-16.12011751;-16.23045916;-6.587052237;-27.86233418;-1.325765496;-10.9311124;-13.89396774;-8.436809782;2.094245622;-3.706896934;-9.365330166
-21.42633699;-17.43018352;5.052915864;-153.4718111;23.74926349;-10.6967932;-87.4570186;-22.10085884;-27.00080111;9.238885418;-25.72006908
-22.19166093;1.104537191;-0.051239352;-5.095071641;74.22231929;0.328383454;5.665050806;-17.62046645;-22.60055344;-0.145117457;21.29433455
-8.592755526;3.334496827;-3.138077956;71.61440936;30.93019528;-4.563488583;46.10597114;3.261995652;-0.39428293;0.872104914;18.78246868
23.52313857;12.38560487;1.752128542;18.74786684;0.327399282;-23.15642731;27.72369712;-0.406297648;-23.14191708;9.566732056;18.48561646
47.11321426;1.285688382;0.719239855;16.46117565;-9.311889147;39.83427448;27.21794549;17.49781959;9.499672085;4.233497867;11.64775625
-35.64137118;-3.678971556;9.635354321;-0.750040967;-13.84516041;-43.1174098;5.892389907;4.642218448;31.01110957;7.950202934;-12.0308196
24.76691506;4.659364204;7.79035974;-7.296136424;-3.286109698;-24.78878552;-3.613638194;-4.253302521;5.253358812;0.054872756;-1.317076933
-11.17837216;3.823117559;-2.069224962;-12.40684305;-8.68134691;-16.08006372;2.911902534;-2.730386028;2.971230003;1.762516548;18.51831232
