# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;Cons-EGF
# prediction_type;rolling
# method; Part-GFS_granger_graph(n_components=15)
"Cons-EGF";"Cons.Food";"Cons.RenDwe";"Cons.InsFin";"Cons.Final";"IP.MP";"Emp.HoursFt";"Emp.HoursPt";"Emp.HoursPer";"UrateLabForce";"HCE.AVCE";"PEXP";"PIMP";"ExrateNZD";"ExrateSGD";"ExrateMYR"
7.495251004;3.12528719;2.877632424;0.202762645;4.806048562;18.01512582;6.778295645;6.283234052;6.708808311;22.66666;-3.058175876;0.933838765;-2.180407083;23.73281239;-0.357771889;1.791847232
-18.18320534;-0.854133927;2.760743036;2.651775978;3.701804759;11.01764567;4.0392962;2.416828546;3.811982403;27.66668;2.976756789;7.634636839;5.577662408;-4.970816019;2.108468019;6.108534611
16.15293498;4.412569884;3.018157841;15.72120046;5.3097325;19.97358368;1.976718946;5.657589158;2.493535927;-64.33334;-4.900157386;3.872613542;3.717695541;-13.54236339;3.500631847;3.847419651
17.55120247;8.860621102;2.953371009;12.32039729;8.382409828;-9.658416922;-1.166164963;-6.090947932;-1.856733641;40;0.916458246;7.191319626;6.043122675;-6.615216906;-1.027071617;-8.951556464
7.646503504;1.42817446;2.711803533;10.49187324;3.575477029;-20.04594805;6.599415555;4.171125864;6.261627746;3.33333;1.539953099;18.04935676;18.14811729;-3.247553191;21.5890566;14.84100263
-22.04394456;1.245483353;2.537436883;13.90565412;5.469490193;24.90430737;0.114208848;6.417882121;0.994803829;-0.66666;-1.678500187;4.843454604;5.371601459;11.82734767;4.521352546;13.33112324
21.76070858;9.696646816;2.593840957;1.674472288;5.965596282;24.20250304;5.737285813;-1.531950403;4.722845736;8.66666;-6.427997102;11.45554985;10.84120158;4.416876234;2.776964608;5.102585111
-0.85091328;-4.599631053;2.52574904;-3.444680411;1.83758818;26.02841991;2.306877626;9.765972286;3.348026383;-15.66666;-7.887859188;-0.092749186;-1.030194019;-3.860644613;-4.552322788;-6.922354442
1.700020267;1.859298456;2.499687992;-3.45223335;-2.100186002;5.638859902;3.201216946;3.414342365;3.231211417;19.33333;17.48358303;15.42964985;10.53723169;26.13228818;4.346519018;16.58388308
-4.978727149;3.800967976;2.474014275;-11.25173426;-1.226324483;2.094245622;4.890503494;-3.706896934;3.691391638;-33;-9.648724134;-11.8634591;-13.89396774;2.088156323;-24.18423731;-18.64904939
3.84618348;2.671560076;2.640340387;-8.722036412;-1.097966474;-27.00080111;-4.372141064;9.238885418;-2.463436846;-9;4.703763059;-89.44175649;-87.4570186;-19.84371486;-82.48924368;-81.19515046
10.14838791;3.974179372;2.753226304;-7.764006917;0.887543631;-22.60055344;-1.664683606;-0.145117457;-1.448126319;58.33333;4.244578276;4.861397172;5.665050806;24.1370986;4.410335356;3.050008571
-2.565222415;5.992937591;2.883560549;1.698617942;3.962386861;-0.39428293;-5.139896661;0.872104914;-4.276080175;-65.33333;1.94610045;45.80872464;46.10597114;3.888476837;48.41216777;52.05113662
1.111304761;0.73239015;2.951750512;0.501028964;0.786528331;-23.14191708;-3.242389188;9.566732056;-1.364577826;-22.33333;-1.518294072;26.70028152;27.72369712;-7.674992396;28.54988018;33.0877358
-0.346951188;2.105981355;2.910533982;-1.91204953;4.07393607;9.499672085;3.694672994;4.233497867;3.774803683;26.66666;-23.63722287;25.11125645;27.21794549;5.225193527;17.09648172;16.56983207
