# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;Cons-RenDwe
# prediction_type;rolling
# method; Part-GFS_granger_graph(n_components=8)
"Cons-RenDwe";"Cons.TraSer";"RetSales";"X10yrT.bond";"X5yrT.bond";"HStartsACT";"HCE.MV";"AveComp";"X10yrNSWT.bond"
2.534207108;5.518184081;3.424538835;0.18;0.123333333;-14.59469656;-0.0094444;5.522628094;0.34
2.396007541;11.77090851;2.505734297;-0.19;-0.183333333;17.15880787;-1.188898891;5.682586397;-0.25
2.297590337;0.955509562;3.764582641;-0.763333333;-0.953333333;-19.45217297;-1.217052074;5.556617693;-0.65
2.32165778;8.498401692;2.9812853;-0.476666667;-0.536666667;8.908209876;1.95910632;2.956816421;-0.426666666
2.345232261;14.11303709;1.305264856;-0.12;-0.033333333;3.173878981;0.790400142;7.681804312;0.1
2.340750834;-1.46830604;7.551000129;-0.593333333;-0.72;-0.930882449;3.609833325;0.225708165;-0.47
2.299725741;-9.561752075;2.543227038;-0.323333333;-0.216666667;-0.559571087;-6.025151071;-3.854468098;-0.41
2.38648975;-3.842824316;-0.228291077;0.056666666;0.08;10.31839805;2.806172863;1.909203011;-0.083333334
2.309135396;-0.175554095;4.760865294;0.356666667;0.296666667;13.9424302;-4.089532838;0.702291121;0.303333334
2.268947695;-0.761626008;1.758672695;-0.13;-0.14;24.36350125;2.004506544;0.768839628;-0.063333334
2.15793237;-4.659788744;4.233994097;0.53;0.3;39.32437288;-0.027434725;3.419208762;0.493333334
2.226284744;-0.296757933;8.147526843;0.243333333;0.236666666;-46.32746964;3.743741262;4.14465298;0.133333333
2.266947247;-14.87924797;7.291807886;0.02;-0.013333333;24.78380176;0.832031548;1.46042094;-0.173333333
2.262952489;-6.962102717;1.28123847;-0.296666666;-0.173333333;-15.47332327;-2.498700626;0.904553487;-0.333333334
2.162901099;1.439638515;5.249261294;-0.36;-0.263333334;18.9365484;-0.00391442;4.034458365;-0.34
2.220752267;1.932220352;5.181265955;-0.296666667;-0.286666666;30.03484657;-0.84427547;-1.814855383;-0.313333333
