# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;Urate-LFT
# prediction_type;rolling
# method; FCBF(n_components=12)
"Urate-LFT";"Urate";"Cap.MacEqu";"Cons.Other";"FedFunds";"Unum.LPT";"Unum.Total";"Cap.BioRes";"HSexfinNum";"Emp.HoursPt";"HStartsWA";"ExrateJPY";"HCE.Pet"
0.133333334;0.166666667;-24.78878552;7.645758409;0.573333333;0.550044208;-3.286109698;56.82345362;-28.68911611;0.054872756;-47.41646444;-7.296136424;9.858911076
-0.133333334;-0.133333334;-16.08006372;7.010648631;0.1;19.76277851;-8.68134691;121.9989615;-7.166827391;1.762516548;-3.919550567;-12.40684305;-23.54255991
0.200000001;0.100000001;23.64446924;0.153721996;0.16;-3.679049793;-1.812945498;-1.54024064;7.681855604;2.357685376;17.99642547;15.25548045;0.584037398
-0.066666668;-0.033333334;10.89423554;2.573735421;0.09;-3.484870679;-6.148750652;-0.308761111;-19.51203758;-0.087424857;-2.518265658;12.42966725;13.97585875
0.233333334;0.066666666;7.684065614;4.796657357;0;-17.8948547;-0.866591012;-6.225806616;5.483981236;1.144468705;31.95878168;19.30041437;6.601257037
0.1;0.266666668;24.69484471;3.515251527;0;24.68490835;19.90615536;-28.94395121;-1.532604513;3.839174798;11.65298301;-32.9366193;-1.492320973
-0.166666666;-0.233333334;0.097734992;2.653458842;-0.23;-14.47225628;-0.565156012;-50.62776606;24.00151163;3.217278333;17.05121673;-2.723923677;-3.373169867
-0.066666668;0;2.765750903;1.838129532;-0.27;7.453870402;0.869140415;-20.0139831;-12.09618467;-1.456186134;27.91684136;21.5417953;-9.575022027
-0.099999999;-0.033333334;7.194230955;1.594098051;-0.396666667;21.56277182;-1.130251233;7.968390998;0.879790559;-1.453744151;-2.497787022;-19.41421911;1.98068799
0.533333333;0.166666668;-4.274015891;-1.860399795;-0.353333333;-42.02399582;10.97076681;44.03322984;13.29252721;-2.30596504;15.62089944;4.844349868;2.806216985
-0.433333333;-0.100000001;-14.07988496;-1.660984146;-0.316666667;22.51153699;6.803313608;-37.3827099;3.653944497;-1.01236748;-1.039649478;22.09468097;5.940038534
0.199999999;0.133333334;-32.22005191;3.66866477;-0.183333333;20.95260448;14.23463088;-18.25713714;17.50413966;8.548189308;19.86665382;42.84409729;-9.509917771
0.166666668;-1e-09;-1.756147974;2.963519882;-0.15;-13.96978989;13.16259269;-3.671621904;22.90057772;3.289809079;30.07149086;4.279448765;1.178162656
-0.366666668;-0.099999999;-6.417659908;-1.376332849;-0.25;14.97481561;3.117980415;-20.60360834;6.614409285;2.149937562;-6.131793838;-32.88933554;6.706037009
0.200000001;0.033333333;-25.45640276;4.027761139;-0.1;-1.940530263;7.529364274;-24.00720389;9.053149958;8.888657188;2.071906639;18.7568594;-6.693223869
-0.066666667;0.033333333;21.61821917;3.901342201;0;15.82127121;9.540295103;-24.07806431;-0.902171231;0.244500585;-6.479518444;-6.909380472;4.303965699
-0.066666667;-0.133333333;-11.19001513;-0.258908995;0;6.389143995;4.229146705;-3.420912726;-1.157001424;1.850586962;-19.45733285;13.81366536;-10.20094651
0.100000001;0.233333334;12.05849147;4.976113363;0;41.27770364;19.03760764;14.45940565;-5.939159736;2.056818299;-3.358920082;4.768600815;1.081750351
-0.200000001;-0.200000001;2.439437621;1.446861395;0;14.30988007;0.940685043;-19.39773998;4.434204433;4.704653144;2.498423113;9.451199848;6.39333768
