# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;10yrNSWT-bond
# prediction_type;rolling
# method; Part-GFS_te(n_components=15)
"10yrNSWT-bond";"HCE.OthMot";"Cons.Final";"HCE.MV";"IP.Man";"Emp.TotalPer";"Cons.EGF";"Cons.RecCul";"Gov.Nat";"RetSales";"Emp.PtPer";"Currency";"Gov.NatLoc";"IP.ME";"LabForce";"X10yrT.bond"
-0.433333334;-11.64862324;3.977668252;4.457937732;4.795697771;1.567761622;-4.13829226;6.684396649;15.12331342;3.325915115;5.824951718;-0.788469024;-0.696947615;18.56003024;-0.138276728;-0.52
0.266666667;-0.011317498;7.333887198;1.747354692;2.591801724;1.355530845;15.21166376;10.42655027;-7.927613315;12.67470168;-0.555385612;-0.153816573;4.339514411;-21.20729338;0.066263549;0.336666667
0.433333333;-0.011198052;3.336815966;-0.007873294;-10.91175137;1.528573605;5.334015079;-0.829732363;4.582010235;4.815106588;3.000639202;-1.310747753;4.787899273;-34.94945208;0.581495885;0.496666667
0.543333334;1.382649147;3.772937053;4.620501432;1.325235889;2.39096215;0.179573516;7.032469633;-4.994142411;6.098271906;0.847288536;0.470093474;0.093571942;31.74943502;2.487699487;0.456666666
0.326666666;2.033386234;5.150887522;-9.264905008;2.199015984;3.318645819;-5.877804418;3.284952637;17.8916193;5.22209998;5.320986604;-0.117904977;2.172723072;-7.567793298;2.213695117;0.363333334
0.313333334;-1.431259301;1.259151845;8.217504462;18.00947255;1.323732032;1.999095483;3.826495573;15.82475293;-2.386998103;3.56436557;2.642772385;2.887525371;-0.54607517;1.509617805;0.266666666
-0.513333334;-0.041510163;3.200261675;-1.794529703;-6.765488977;4.521612138;36.11669495;5.836614913;0.710017345;15.49716928;5.319112559;-3.452698421;-1.745919047;18.68251496;2.820893114;-0.603333333
-0.176666666;2.612732236;4.533574125;-10.15467045;7.18455659;4.382048066;-22.30839812;16.00471594;-1.824917993;-6.220567876;5.818325646;5.209455943;-0.464214121;12.32446656;3.218437144;-0.123333333
-0.306666667;-4.030897122;1.816838897;8.682727671;1.254574996;-2.21411839;2.531377788;-14.19810232;-10.37144154;9.71754476;-1.426890993;-1.844968574;3.514589566;-0.506008923;-1.53876177;-0.296666667
-0.71;-0.017256581;3.9823652;9.139909226;-9.720499473;0.790036867;4.843302415;4.950800111;7.917226845;12.65167385;6.372962013;-7.823786096;0.341880363;-6.637038037;1.727031523;-0.593333333
0.396666667;-0.017032103;2.928703691;0.210533547;5.101025559;2.633092233;12.35815601;3.641222228;15.26428507;8.025999997;11.09392446;7.574868107;4.600004957;-2.064520712;4.621668621;0.52
-0.026666667;-0.661453534;1.260611179;-6.462569308;0.84388217;0.939789645;-11.15643836;1.664535052;0.666609355;4.752275081;9.798283651;-7.116811;3.389850796;4.630276783;1.0777133;0.003333333
-0.42;-0.009365354;2.870532357;1.049951192;8.754909155;1.114243798;2.98859326;6.526877485;4.998495902;8.930100905;0.827737344;13.15396794;-1.5231721;-3.596684477;1.499555039;-0.246666667
0.546666667;2.53850394;4.857811753;1.030643887;3.694228413;2.352391159;2.881978986;10.69789742;0.97414598;9.114134709;5.211595582;-8.021161734;1.27830701;3.596684477;1.013436085;0.476666667
0.313333333;1.830022548;6.665551306;-6.993051521;3.660422087;1.303037461;0.253298161;14.12830964;6.06310379;7.727651353;2.260185843;-2.91234831;2.147121174;20.92631575;0.15705098;0.133333333
-0.423333333;-1.948095528;5.301534301;-0.385286795;0.808898152;2.883104816;8.35277793;8.503808602;2.886816505;5.35755699;4.891142016;2.256164544;2.811064117;-19.39472485;2.431188111;-0.523333333
-0.226666667;-1.271940289;1.737539097;7.763625111;6.412963012;3.266242469;9.637052491;4.571149758;3.48077319;5.843828576;6.814923301;-5.557749207;3.221119429;20.8483909;2.695634911;-0.13
-0.323333333;-0.023524347;1.901560332;-5.994493523;8.653238142;4.019703502;-16.38932286;-1.145066265;6.00860324;3.636123621;5.618132947;4.989462145;2.179155458;24.39208106;3.657882947;-0.28
-0.186666667;-0.023167642;4.345586983;-1.78978901;-5.090621816;-0.526418856;9.717077028;8.087963109;3.078014489;7.981772078;1.62530564;-1.867670487;5.761955399;12.54302097;-0.616247436;-0.18
0.373333333;10.04432969;5.175816747;2.115955173;-1.975312656;0.935692928;11.40507955;11.05524913;4.943859216;10.45903032;-2.755543965;1.283413984;5.765577639;-5.327492736;0.33029836;0.36
0.376666667;-9.004182216;8.216166005;-1.088609882;4.332883332;2.335349197;8.989142341;13.75278147;0.465657794;11.45186793;-1.168290417;1.23235611;4.031729084;1.783726479;1.54489796;0.326666667
-0.153333333;-0.614527661;6.119111563;-4.404421079;5.833841862;1.178773097;6.189678633;4.985632636;9.097717869;6.043434326;-0.59789254;-1.387024446;3.452808783;3.984537652;0.461776392;-0.166666667
0.253333333;-0.029642377;3.900853069;7.279545767;-3.490085156;2.288383936;-3.857310509;7.389436343;2.165344395;4.197735071;4.067898885;-0.065892355;-0.755384586;2.196600797;1.811341876;0.29
-0.28;-1.725254147;5.303823523;-7.040478191;-4.307432716;1.383513824;4.930724992;2.755288654;11.47453503;5.41706176;0.552418101;2.430577702;0.683504626;-20.67876153;1.568497057;-0.3
-0.223333333;1.119538651;3.829376698;12.97750741;-1.577911316;4.718108677;3.886114955;4.449827826;2.510218418;0.077721046;6.259755645;-5.05225648;2.150799781;5.498368362;3.280892462;-0.226666667
0.186666666;-0.578831768;0.233313997;-11.50040123;1.577911316;4.204963671;-6.343879984;6.632741426;5.85534988;2.058419692;4.578591347;6.884948484;3.748100013;19.97086958;4.02802185;0.123333334
