# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;Cap-IntPro
# prediction_type;rolling
# method; Part-GFS_te(n_components=14)
"Cap-IntPro";"IP.TCO";"Emp.JobVac";"Cons.Hea";"Cons.EGF";"HStartsNSW";"IP.ME";"IP.PCCR";"Cap.BioRes";"HCE.ITA";"ResInv";"COMMP";"Imports";"HCE.MV";"ExrateCNY"
15.82574307;-8.791562688;0.4;-1.837394136;2.531377788;35.41348161;-0.506008923;-21.50859781;-18.17378253;-4.876408745;-68.1800403;5.590028468;-12.32986972;8.682727671;-26.52696265
17.45771032;-32.05153761;-15.2;22.26609835;4.843302415;16.5964341;-6.637038037;2.613168417;6.974024729;10.74303333;13.23458804;-25.38130841;-9.573798354;9.139909226;-7.824510248
6.420345703;4.897111806;-5.6;6.450823754;12.35815601;35.40512532;-2.064520712;31.12879874;24.8884092;-14.43455591;14.64804095;19.99134633;-5.567997107;0.210533547;-8.932499694
-0.208877289;-0.664268074;-3.8;8.759267861;-11.15643836;7.199371008;4.630276783;-19.03442804;56.18713465;7.026529487;33.9575913;-21.44466713;0.622507664;-6.462569308;1.097142854
8.271165726;-1.109570753;-1.7;15.29896571;2.98859326;-6.513904628;-3.596684477;-8.022146725;-13.53281296;2.316243112;33.33019044;-13.11820205;5.559398437;1.049951192;1.390023029
3.058118871;0;2;-2.53660703;2.881978986;2.442871661;3.596684477;14.82320542;-15.73834053;30.4127848;22.85233041;15.30325014;18.54177734;1.030643887;5.142805136
6.746541302;15.26070639;5.7;4.415174723;0.253298161;-0.582809205;20.92631575;15.31953982;-24.60249871;-31.91216884;39.41471968;-18.07461402;13.21273884;-6.993051521;28.79893445
15.08873481;-6.686594098;6.8;16.11026423;8.35277793;-11.89275759;-19.39472485;4.078200152;-82.16949571;-1.847558948;0.679405684;28.97941461;5.824293212;-0.385286795;-6.615912098
9.689383761;4.971693293;-5.4;-11.79626196;9.637052491;-18.2477419;20.8483909;-2.033902687;-84.89041113;-3.876057821;10.61727672;-3.270109028;27.98940961;7.763625111;8.648561325
8.450691557;-23.90091396;12.1;15.83902649;-16.38932286;18.34916886;24.39208106;32.61789951;-1.403510212;4.172964181;19.85903386;-21.48826287;2.58424676;-5.994493523;26.92861979
4.477488214;-22.51473489;-5.1;13.713341;9.717077028;3.781194068;12.54302097;-58.22945168;75.38154324;-7.126069602;-15.55243791;-30.3342355;3.807969119;-1.78978901;31.07329133
2.084518142;32.20262044;-0.5;-11.78317853;11.40507955;24.6632929;-5.327492736;1.446656188;138.8086049;-16.64414007;17.77928335;42.95514017;12.12357386;2.115955173;6.208104323
7.965359974;1.776793593;3.4;14.38234172;8.989142341;-12.16405873;1.783726479;21.09451843;16.92095188;20.51601246;26.9397943;-7.344839074;16.81362854;-1.088609882;39.01665163
-1.420329943;-6.478778886;-3.7;9.801926881;6.189678633;-55.32921528;3.984537652;-0.342612441;11.27930834;-15.77986857;20.04481657;10.18576008;21.77059699;-4.404421079;21.29383955
15.78062334;-11.65463763;23.3;4.835901025;-3.857310509;-18.27557077;2.196600797;-9.714267536;1.14887585;10.95161766;-0.25037383;44.61813723;11.14763914;7.279545767;-30.60152453
2.386540214;-7.72631572;-2.5;8.163072639;4.930724992;-8.894211613;-20.67876153;18.8633322;-12.82285615;4.471286447;2.96657052;-27.59595211;6.000407542;-7.040478191;-2.040466025
8.408970597;-21.86336502;14.6;8.813644999;3.886114955;2.102537659;5.498368362;-11.90058025;-30.34241002;-3.127256786;-2.632773561;-28.81419023;13.81432253;12.97750741;34.09708052
10.7548808;-27.65065672;7;-21.19301771;-6.343879984;29.45542025;19.97086958;-14.76441771;-3.422480772;4.439060091;-0.278144786;14.53878507;9.4617894;-11.50040123;5.896247165
8.495610872;-24.55096538;-5.3;6.378213449;-14.03377645;-10.97896757;8.565637802;2.854606228;19.7001571;-6.206996968;22.16251075;47.43262521;10.03976906;1.433818682;-6.259523734
9.714539351;20.78749676;-1.9;-1.97345637;15.34134419;16.73920216;13.33456811;7.746720996;52.79858916;3.543260487;-4.101243139;-23.89063558;-1.062527862;2.995872842;-14.33563116
9.937449748;-30.57920239;-4.9;14.5235054;2.449768423;5.918141938;-11.22151512;-19.28945158;-10.89985698;-10.27856022;-8.684012136;-8.455232797;10.8888188;-3.433448094;-9.354085316
