# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;IP-WPP
# prediction_type;rolling
# method; Part-GFS_te(n_components=8)
"IP-WPP";"ExrateJPY";"Cons.TraSer";"Cap.BioRes";"HStartsNT";"HStartsTotal";"IP.PRM";"Hstarts.PDA";"HStartsACT"
13.49366946;-27.86233418;19.28242174;22.12731012;-50.85663785;-29.21613059;-63.03278025;-37.3106503;-23.0896739
-41.56928701;-153.4718111;-22.45302608;-48.63273083;75.10648657;15.22948762;-7.896991492;-60.17328113;30.39436279
-19.49811275;-5.095071641;-10.29039772;-18.54486996;28.52116852;58.40193489;-73.1740968;-3.915202545;68.39211083
12.61700145;71.61440936;-16.52863924;7.339655467;17.31634179;24.00504676;44.89714211;31.51235101;28.53327627
-3.66975051;18.74786684;11.21201673;16.03778288;-37.47899725;-16.23875152;-39.04694642;53.2610133;-42.15792826
28.79964037;16.46117565;-0.845964362;-49.1928468;-60.48033004;-36.59971786;25.65657475;24.68649594;-29.75931604
30.05953667;-0.750040967;1.057176195;10.71927726;-22.25739663;-58.87845013;-9.64732378;14.68953318;-54.55450866
-48.66754293;-7.296136424;14.51437742;56.82345362;-61.11568369;-21.851922;-10.60132722;2.874263864;-51.07174615
7.476853205;-12.40684305;20.05548668;121.9989615;-0.847457987;2.748645866;-3.958646795;-10.6414983;-2.510266544
-15.09613119;15.25548045;13.39488804;-1.54024064;-42.47425865;14.98403325;1.083522107;17.26886875;21.12702237
-3.679878759;12.42966725;5.518184081;-0.308761111;21.5772329;-17.93501319;26.85103688;-30.22143245;-14.59469656
-16.22098732;19.30041437;11.77090851;-6.225806616;-4.042707068;15.04651339;-17.93403811;-11.29728503;17.15880787
-6.598888134;-32.9366193;0.955509562;-28.94395121;11.56921583;6.612329379;6.646414393;7.226002857;-19.45217297
13.0906774;-2.723923677;8.498401692;-50.62776606;33.22981766;17.97660907;-64.21248477;-53.55872907;8.908209876
-41.89176069;21.5417953;14.11303709;-20.0139831;32.17229634;-0.58813261;-14.93949572;2.332368241;3.173878981
11.60703199;-19.41421911;-1.46830604;7.968390998;-26.95918989;-4.232595788;14.12400105;57.31784911;-0.930882449
-12.02786317;4.844349868;-9.561752075;44.03322984;25.84030804;1.768783349;15.21705018;-10.20463496;-0.559571087
7.094604343;22.09468097;-3.842824316;-37.3827099;17.53705515;2.119849292;-3.552070703;7.170486406;10.31839805
25.24623431;42.84409729;-0.175554095;-18.25713714;-9.037890095;12.70604066;-8.008275492;-13.42061357;13.9424302
8.833772364;4.279448765;-0.761626008;-3.671621904;-15.27898838;25.37958863;-2.027373828;34.19165795;24.36350125
-27.10904603;-32.88933554;-4.659788744;-20.60360834;2.650269951;9.733005999;-3.675370422;46.36284557;39.32437288
-2.446490807;18.7568594;-0.296757933;-24.00720389;-20.12029535;5.223758171;-0.410466942;19.27074223;-46.32746964
21.10992559;-6.909380472;-14.87924797;-24.07806431;26.8557211;-2.564792994;-8.299052878;0.81716057;24.78380176
17.46007726;13.81366536;-6.962102717;-3.420912726;8.081083;-3.080967644;-33.66267163;-9.917863447;-15.47332327
-15.13898757;4.768600815;1.439638515;14.45940565;25.70175591;0.791859121;-15.34179911;14.7860777;18.9365484
3.456574558;9.451199848;1.932220352;-19.39773998;-19.56721987;7.222128449;34.0534511;35.47603004;30.03484657
