# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;IP-FBT
# prediction_type;rolling
# method; Part-GFS_te(n_components=10)
"IP-FBT";"IP.TCO";"BusInv";"COMMP";"Cons.CloFoo";"HSexfinNum";"IP.ME";"IP.WPP";"Cap.MacEqu";"HStartsNSW";"Credit.Bus"
-5.863979364;14.61186963;13.10963923;22.45316897;0.187514653;-37.38029161;47.11321426;28.79964037;39.83427448;-57.92937153;-4.939240332
16.93593175;-23.04867941;-18.70138975;35.37300181;7.858555801;-70.10658768;-35.64137118;30.05953667;-43.1174098;-66.28226616;8.695979491
-18.20376165;-10.13662878;11.35717632;51.0621916;2.565285934;-28.68911611;24.76691506;-48.66754293;-24.78878552;-8.00049463;-2.339297985
2.952042919;17.11889151;10.46603698;-58.87913154;7.359580251;-7.166827391;-11.17837216;7.476853205;-16.08006372;9.700684266;3.048543069
-3.799500863;-11.45574831;10.02453968;-41.49805433;-2.458225529;7.681855604;-2.02943104;-15.09613119;23.64446924;18.05759211;-1.014701549
-0.849257219;-30.36476787;19.13632431;56.64748329;-7.160385377;-19.51203758;-6.150813148;-3.679878759;10.89423554;-4.558023182;4.197096972
25.52305935;29.61429861;11.48839759;-15.28329875;3.171231735;5.483981236;-19.04114111;-16.22098732;7.684065614;9.361923997;-1.909626895
-4.008049567;-16.48532295;45.78322037;-15.12933338;-7.727931258;-1.532604513;35.63431434;-6.598888134;24.69484471;21.43415992;4.863908228
4.804862579;-30.90968068;-7.140033579;-31.39079046;4.189165041;24.00151163;-14.94368636;13.0906774;0.097734992;38.89138796;2.770812632
-12.53260674;50.01550903;34.58805645;-4.479354973;10.1654238;-12.09618467;26.27810371;-41.89176069;2.765750903;-27.61605263;-3.081183998
-11.24488418;-25.02017956;10.47984037;33.45120644;3.094793001;0.879790559;-6.605298224;11.60703199;7.194230955;-21.30704964;3.420666523
18.97262834;-40.95431942;2.349361796;-40.46113822;-4.771191204;13.29252721;3.898666341;-12.02786317;-4.274015891;6.75962982;-4.498639588
8.371008042;47.65068457;-24.69969387;11.3461737;1.317761;3.653944497;-5.075714763;7.094604343;-14.07988496;-11.37556425;-3.553926653
4.315882969;6.586105206;5.805235398;54.65451707;4.164225593;17.50413966;-18.08444597;25.24623431;-32.22005191;17.36407662;1.965242031
-22.88632172;-6.195670817;28.14471317;-31.27225158;5.816361569;22.90057772;2.05023514;8.833772364;-1.756147974;26.73777277;0.577042302
3.292199655;19.42313966;-24.64734871;17.0301058;10.81769035;6.614409285;-5.76735017;-27.10904603;-6.417659908;10.13015992;-1.216084865
14.48850537;14.95842334;-15.83400615;-18.12831768;8.815010395;9.053149958;-2.497406656;-2.446490807;-25.45640276;23.3984825;1.586299249
-11.62989188;-69.43452794;3.085020602;7.148116308;-7.059006725;-0.902171231;-11.86527673;21.10992559;21.61821917;-6.383367402;2.934129903
21.77677743;21.15578557;5.233873127;-49.97606163;-5.005041839;-1.157001424;-13.56062067;17.46007726;-11.19001513;-5.060800697;-0.955952442
-16.12011751;31.8305594;-15.70260375;22.04420941;5.174569284;-5.939159736;6.181138449;-15.13898757;12.05849147;-0.645982287;0.901595601
-0.401404951;-50.43856565;-4.268072931;20.69719885;3.991319744;4.434204433;1.312193632;3.456574558;2.439437621;8.412876381;0.645840482
