# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;TotComp
# prediction_type;rolling
# method; Part-GFS_granger_graph(n_components=14)
"TotComp";"Cons.CloFoo";"Cons.RenDwe";"Cons.FurEqu";"Cons.RecCul";"Emp.TotalPer";"Emp.FtPer";"Gov.Nat";"RetSales";"Emp.JobVac";"AveComp";"Credit.Total";"Credit.Nar";"ExrateCNY";"SPASXAllOrds"
4.458104649;-1.669152944;4.300131292;-8.137496438;-2.037135752;1.404988025;1.451475879;-14.04488223;2.00056711;7.9;0.859467257;-1.963100956;-1.223245252;-5.927910444;28.23339638
6.202961507;11.77248007;3.18459675;2.89099833;2.812222499;2.103764923;0.552467272;15.36822683;2.883820698;5.7;4.229400932;-0.435755945;-1.068975999;-24.6901417;2.358966422
11.58622948;17.81096717;3.394018527;-1.925008728;9.077628128;2.01781472;2.126531208;-4.716513393;6.945838363;-14.2;8.009879179;2.317785731;-0.007241366;-24.48707402;-18.79416711
2.536247605;-3.902469978;3.474878927;1.124047307;6.684396649;1.567761622;0.08415337;15.12331342;3.325915115;12.2;1.148231424;-1.111690807;0.132423314;21.35631481;23.08231452
3.393630289;3.125015895;3.404275867;9.97676421;10.42655027;1.355530845;2.022760295;-7.927613315;12.67470168;-14.8;1.420820438;-0.084479379;1.46959187;1.717497825;23.89648985
6.495307836;0.44444449;3.684671678;3.426145144;-0.829732363;1.528573605;1.013820391;4.582010235;4.815106588;13;5.82752913;-0.772338671;-1.338616503;18.31322972;10.35792748
1.615204708;9.329548999;4.542011865;10.1813936;7.032469633;2.39096215;2.932884702;-4.994142411;6.098271906;6.7;0.504438152;-0.344986021;-0.967535128;-5.180392379;-5.265155561
11.04726914;5.602030697;3.162176396;7.191204918;3.284952637;3.318645819;2.615157967;17.8916193;5.22209998;2.7;7.491215346;0.635983157;0.505778622;-1.494658342;10.20212862
6.509460426;-10.0750079;2.980434265;4.576540051;3.826495573;1.323732032;0.530856083;15.82475293;-2.386998103;8.5;4.127065813;0.144550368;0.919853911;-16.45131668;12.29157462
4.611355137;35.56265439;2.191571865;27.23490511;5.836614913;4.521612138;4.239986317;0.710017345;15.49716928;-2.2;-2.190751463;1.580387988;0.999173032;-21.00021523;0.78088358
7.433902084;-49.06275039;2.024335221;-32.48015526;16.00471594;4.382048066;3.867209733;-1.824917993;-6.220567876;-1.5;4.893718107;0.686210778;2.291367807;-14.43226839;14.15924452
5.193551415;26.45319759;2.374583518;21.42723203;-14.19810232;-2.21411839;-2.496249863;-10.37144154;9.71754476;0.4;7.377068365;-3.396658844;-3.953283405;-26.52696265;-5.835780477
