# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;Cons-EGF
# prediction_type;rolling
# method; Part-GFS_te(n_components=12)
"Cons-EGF";"Cons.OpeVeh";"IP.TCO";"HCE.MV";"IP.MP";"IP.Total";"Gov.Nat";"HStartsTAS";"IP.NMM";"UrateLabForce";"IP.FBT";"HStartsNT";"HCE.UTF"
2.881978986;4.304155436;0;1.030643887;0.450704273;3.450421888;0.97414598;21.53528783;7.250953837;-11.333333;9.047235435;-4.29726604;0.556675962
0.253298161;4.856880173;15.26070639;-6.993051521;-23.181457;0.490496689;6.06310379;-24.02906161;11.33487885;-21.000001;5.079433335;-25.26373378;1.105615214
8.35277793;6.357412907;-6.686594098;-0.385286795;8.500910264;1.955994118;2.886816505;0.125058497;3.708021919;56.000001;5.430892826;-67.9738191;-2.232297616
9.637052491;-0.252365939;4.971693293;7.763625111;20.04975487;4.848544213;3.48077319;21.65979242;12.7138966;6.666666;-4.590556383;0;0.55286384
-16.38932286;2.809088637;-23.90091396;-5.994493523;-7.175080275;0.962696012;6.00860324;-16.56576476;-25.84520472;24.666667;-0.840336444;60.61995926;0.548283117
9.717077028;4.610882355;-22.51473489;-1.78978901;23.71715455;-4.836818306;3.078014489;34.8559877;-12.10013619;-106;-11.52079636;105.1860182;2.727288449
11.40507955;-3.401098881;32.20262044;2.115955173;-7.3159651;-1.951223381;4.943859216;49.23237491;35.2547478;22.666667;-1.735360639;-59.46410965;4.775043744
8.989142341;8.24516465;1.776793593;-1.088609882;-13.24624351;0.976801462;0.465657794;-35.87925736;-6.349339663;31.333333;13.256157;31.15848333;-7.033810266
6.189678633;4.180869155;-6.478778886;-4.404421079;4.908037037;5.330181839;9.097717869;-59.22356825;-0.915332207;-27.66667;7.912803581;28.90577651;3.660929203
-3.857310509;-0.20194881;-11.65463763;7.279545767;-6.257110828;-0.963855888;2.165344395;7.791637877;13.51479903;34.33334;-3.728665011;11.81769849;-3.183286668
4.930724992;18.66676552;-7.72631572;-7.040478191;-6.814474861;0.963855888;11.47453503;-8.299574707;-2.220994046;-6;-1.2506524;70.05564186;-5.204963058
3.886114955;4.104567304;-21.86336502;12.97750741;8.163548652;-0.963855888;2.510218418;-12.12604938;-9.921590946;43.66666;2.912129347;12.27163911;6.241233068
-6.343879984;-8.251690348;-27.65065672;-11.50040123;15.41192287;5.272694681;5.85534988;32.31922083;14.35131507;19.66667;-10.0739847;-14.72262722;-0.545952625
-14.03377645;2.408241883;-24.55096538;1.433818682;-44.2616318;5.204094694;-2.3948641;20.83129899;46.91737583;-12.33333;19.49582326;32.56514486;-1.044138865
15.34134419;-5.576497825;20.78749676;2.995872842;11.88441546;-1.412597113;-2.904792314;-16.38614148;-17.62046645;-36.00001;-12.75172252;57.13456336;-0.010439077
2.449768423;-1.652732307;-30.57920239;-3.433448094;-4.237826573;-1.891256478;2.668455527;-2.998065182;19.96422315;-24.33332;-1.255888002;14.0907211;3.513918642
-0.534606285;2.006002533;14.31792083;10.26793767;20.75393415;-3.331369643;-0.532268874;36.66599665;17.15365268;16.66666;-4.215002121;-10.37522142;-2.555870921
7.495251004;-3.190720547;-6.808675028;-9.492306665;18.01512582;5.222626121;11.2042336;-2.423582077;-4.880398412;22.66666;6.722847327;-11.05151699;-1.011152955
-18.18320534;6.472950549;-25.70097561;7.205458562;11.01764567;10.70453642;8.389792235;19.62128708;1.13154248;27.66668;16.72859794;-29.90494379;6.827970263
16.15293498;7.249788737;21.38593916;-2.2824185;19.97358368;7.281202183;9.796862449;-25.07263019;-7.604791795;-64.33334;-12.58348313;-69.02322181;-7.362933354
17.55120247;9.516166735;3.742380663;-0.003191944;-9.658416922;-0.902934921;5.334747592;-10.32534982;15.43720988;40;-3.728665011;-20.50383135;-2.41633669
7.646503504;-1.121076967;39.00874021;-2.256701073;-20.04594805;-0.452232948;3.206502197;44.34503712;-10.85700716;3.33333;-13.11592913;4.025528776;6.251546228
-22.04394456;1.978446477;-2.084695272;0.751525261;24.90430737;4.946662255;-1.834288158;3.686662042;8.263204648;-0.66666;20.13003356;16.99046656;0.401937418
21.76070858;3.854022774;-21.7430241;-0.000355328;24.20250304;0.44667788;2.300509576;17.74524708;7.366690714;8.66666;-4.938334329;-19.40091912;1.77212403
-0.85091328;-1.033973988;5.479537743;-1.514075875;26.02841991;8.39346092;5.358216345;3.591821441;7.233470173;-15.66666;-3.326422497;-69.66460886;-6.07613695
1.700020267;7.218626722;-6.584510822;-0.390118527;5.638859902;3.048463312;4.693630949;-81.97926915;9.562208341;19.33333;0;-0.960384615;3.193422287
-4.978727149;-16.23045916;-14.07604776;-1.165271499;2.094245622;1.299405582;24.65263125;-45.42638468;0.349803258;-33;-9.720499473;-50.85663785;-0.952675118
3.84618348;-17.43018352;-20.2760996;-3.537042044;-27.00080111;-10.95958968;-0.871836341;31.54657927;4.519822102;-9;-9.086383134;75.10648657;0.414138416
10.14838791;1.104537191;24.26757962;12.03966252;-22.60055344;-4.020134341;-9.110797128;62.72906501;-27.17756382;58.33333;3.485860841;28.52116852;4.355288654
-2.565222415;3.334496827;-58.22354156;-3.513059814;-0.39428293;0.448682044;-4.489575096;-34.40389265;-13.16526921;-65.33333;14.4850758;17.31634179;-4.911393229
1.111304761;12.38560487;-40.36165591;-0.389621674;-23.14191708;5.345291125;2.885892924;-27.34387803;9.821078802;-22.33333;2.502615046;-37.47899725;-0.890265967
-0.346951188;1.285688382;14.61186963;0.379276439;9.499672085;10.48094896;2.512391019;-24.11204679;11.04025923;26.66666;-5.863979364;-60.48033004;1.264682353
-5.874231445;-3.678971556;-23.04867941;-4.218430335;31.01110957;7.261277883;6.865977016;-92.0649079;-14.78911516;7;16.93593175;-22.25739663;2.069550237
16.01870935;4.659364204;-10.13662878;-0.405941423;5.253358812;0.423056623;11.61059307;-12.98491046;22.33990117;-20.99999;-18.20376165;-61.11568369;-8.45502061
3.839382849;3.823117559;17.11889151;4.254031253;2.971230003;0.422609654;-0.385387424;-10.28334268;-13.4009817;49.66666;2.952042919;-0.847457987;5.477920137
1.137980853;8.306329576;-11.45574831;-3.101156114;-15.08189961;-2.117527444;10.77805122;-8.776130904;-4.44449017;14.66666;-3.799500863;-42.47425865;0.394868286
-10.84077191;9.745135963;-30.36476787;-0.0094444;-7.75970018;-6.852415972;3.363719892;28.25912641;1.115760835;-56.99999;-0.849257219;21.5772329;-6.687604253
-5.045423265;-0.321041619;29.61429861;-1.188898891;33.07046767;10.65593116;3.39717916;-5.494363181;-10.91832491;-44.33334;25.52305935;-4.042707068;11.24016245
-8.932239289;-4.233223367;-16.48532295;-1.217052074;-11.71172408;7.500219738;-1.417130256;-1.848354442;-5.766558305;75.33334;-4.008049567;11.56921583;-5.84402129
-6.0194615;-1.553821006;-30.90968068;1.95910632;20.9813011;2.879189809;5.379906753;-15.10260901;-9.006743714;-44.33334;4.804862579;33.22981766;2.021015923
14.25556417;0.723458327;50.01550903;0.790400142;-14.35131507;1.635994101;2.00463611;-25.08149534;5.115662447;26.33334;-12.53260674;32.17229634;5.932169209
-1.885642951;-4.689470715;-25.02017956;3.609833325;-20.61346005;-2.867395791;9.298391783;2.413560333;-26.6765498;-12.66667;-11.24488418;-26.95918989;-5.681157724
