# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;Cons-TraSer
# prediction_type;rolling
# method; Part-GFS_te(n_components=11)
"Cons-TraSer";"IP.PCCR";"HCE.AVCE";"EXrateKRW";"Cons.Alc";"Cons.CloFoo";"UrateLabForce";"ExrateNZD";"HStartsVIC";"Cap.BioRes";"HStartsTAS";"IP.ME"
-1.46830604;-34.90364655;0.150325768;-9.860024281;-4.807487533;3.094793001;-12.66667;-0.770773147;7.123460839;7.968390998;2.413560333;-6.605298224
-9.561752075;6.293148488;2.844356802;2.894123554;-2.53619044;-4.771191204;4;0.416818565;-3.187698265;44.03322984;23.19229602;3.898666341
-3.842824316;-9.477244903;-1.375626826;-17.6898032;-4.114004298;1.317761;1.66667;-5.083459722;6.691745749;-37.3827099;-1.575149706;-5.075714763
-0.175554095;-6.039369885;1.324500223;4.416503583;-2.466375527;4.164225593;33.66666;-6.937266474;11.42183557;-18.25713714;-17.38235415;-18.08444597
-0.761626008;0.810537258;4.868568632;-13.77994937;-2.708049836;5.816361569;-43.66666;-14.90298767;11.3668405;-3.671621904;22.08931629;2.05023514
-4.659788744;-12.75172252;-2.658839008;-35.904072;5.286172814;10.81769035;-28.66667;-21.18276521;26.66484602;-20.60360834;23.8826704;-5.76735017
-0.296757933;-14.03652792;6.253217216;-13.82479023;-6.079486575;8.815010395;0.33333;-5.463822648;-13.00312104;-24.00720389;44.01736453;-2.497406656
-14.87924797;5.588484239;-0.062976357;-2.8905921;6.63775603;-7.059006725;51.66667;-18.26000198;-3.590539279;-24.07806431;-19.63308463;-11.86527673
-6.962102717;-1.711232556;-3.165377793;-3.107149501;8.391144035;-5.005041839;-12.33333;5.778641078;0.863889012;-3.420912726;13.59134146;-13.56062067
1.439638515;-3.444585334;1.413954773;-4.756632778;1.30897308;5.174569284;12.33333;9.50532566;5.22195521;14.45940565;-0.297066497;6.181138449
1.932220352;15.68828526;-10.45135316;-8.299933043;5.623233998;3.991319744;-27.33334;-9.837158596;11.41189898;-19.39773998;-17.30820291;1.312193632
