# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;EXrateKRW
# prediction_type;rolling
# method; Part-GFS_te(n_components=15)
"EXrateKRW";"HSexfinNum";"ResInv";"Cap.MacEqu";"HStartsNSW";"Cons.PurVeh";"ExrateMYR";"Cons.Edu";"HSexfinVal";"HStartsTotal";"Gov.NatLoc";"HStartsVIC";"EXrateIDR";"ExrateCNY";"M1";"Credit.Per"
7.683928953;35.67304925;3.202802142;-8.791562688;53.72460074;13.17166272;18.31604408;1.972390584;44.03820021;30.55883528;4.787899273;9.468653048;-34.45076585;18.31322972;-3.571078724;-8.970291822
3.585448534;4.166531656;19.44561057;17.87064994;11.82793364;-10.15927624;-5.112543929;8.050912909;15.42928782;5.110145119;0.093571942;-3.063597088;-10.63025773;-5.180392379;0.44862224;0.04652267
-14.67363831;23.94749499;17.28065347;9.557880747;37.03711473;19.25057667;-1.546592982;2.179492572;37.13043925;30.51628726;2.172723072;24.31861615;-27.41738501;-1.494658342;1.414389174;-6.671237571
-31.29262268;-18.22027241;44.53686724;1.071812002;-36.68252386;7.82223174;-16.44933938;-1.216487532;-14.47768562;-16.5932278;2.887525371;-14.93656311;4.410696559;-16.45131668;0.676818503;-4.727422549
-22.40227036;-52.87204713;27.20202221;28.20323633;-35.56994789;-62.61856974;-20.99349491;-1.992772302;-64.00003887;-40.31292663;-1.745919047;-38.46061915;25.51605619;-21.00021523;0.940562652;13.99739304
-15.89670756;11.83420916;-74.78716838;7.771070887;-1.52413575;102.2574507;-14.48735522;-7.086735546;-14.82999564;9.963458626;-0.464214121;-4.867377535;-1.590137889;-14.43226839;-0.054061722;-38.43039094
5.413171587;7.121684983;-68.1800403;-24.92504733;35.41348161;-29.74554896;-26.44861899;15.88250104;5.995979006;17.38799428;3.514589566;20.41424379;9.130744184;-26.52696265;-0.953724617;35.61415707
16.03968482;14.56082084;13.23458804;9.669594817;16.5964341;-37.25205895;-7.841292942;1.321691077;42.96064841;11.52217444;0.341880363;4.457635439;6.986277347;-7.824510248;4.444914982;-8.579811921
-1.717464146;44.53914573;14.64804095;2.263423969;35.40512532;-14.26643207;-8.893650437;3.814615012;61.35633776;42.36508029;4.600004957;42.21569784;50.45109925;-8.932499694;6.296468662;5.641498938
-0.672137141;18.88314839;33.9575913;-2.873697015;7.199371008;7.778634414;1.129457957;11.41181692;35.6059235;11.55661138;3.389850796;21.10877977;-81.900097;1.097142854;-2.006145396;-0.892887608
-0.284085913;3.56293835;33.33019044;6.361896213;-6.513904628;24.52335301;1.379939065;9.857865797;13.24758769;-0.34564708;-1.5231721;-6.916985925;46.99160099;1.390023029;1.901139622;-2.422596038
13.45640524;-0.032072934;22.85233041;7.148957457;2.442871661;20.25749313;5.148006094;-7.085100023;10.6625762;7.006757302;1.27830701;14.65349094;-9.90199594;5.142805136;-2.459999039;3.038102431
3.656784755;-18.43102662;39.41471968;11.82925342;-0.582809205;7.977105801;28.7897756;-1.323707586;-13.73786441;-4.707222803;2.147121174;-16.74758851;-18.10168935;28.79893445;-76.28719259;13.73830719
