# max_attributes; 15
# description; Austrailan macroeconomic dataset
# number_predictions; 75
# predict; ExrateJPY
# lag_parameter; 4
# horizon; 1
# name_prefix; aus_macrodata
# method; Hits_te_(n_components=9)
# prediction_type; rolling
ExrateJPY;Hstarts-PDA;Unum-LPT;HStartsSA;UrateLabForce;Cap-BioRes;HStartsTAS;HStartsWA;COMMP;IP-PRM
-25.707255399999998;-91.19342841;-34.79678253;-43.37960924;31.666666999999997;28.52361108;55.99260218;-55.41626374;12.08865627;28.36784168
-8.244154763;-127.1120416;-17.04411095;45.90414974;10.0;46.81320675;66.46120257;26.92117746;-9.783963733;2.3238990569999998
-12.46882965;31.33273729;0.6803548229999999;-4.367461066000001;-113.000001;-18.17378253;5.783826106;-16.04117616;5.590028468;-9.9711908
17.49598139;-18.21680817;37.60286459;1.217974685;77.666668;6.974024729;-40.87019024;22.49759472;-25.38130841;15.43693568
2.083282091;75.54845929;52.52760103;23.08722382;69.333332;24.8884092;3.100268272;35.91634717;19.99134633;6.236837904
-3.528611942;85.2013167;-22.97281963;16.44947495;-83.999999;56.18713465;-13.10250203;-3.41396098;-21.44466713;-3.389850796
16.98782559;8.541249788;10.53332074;4.538212257;9.333333;-13.53281296;43.97145209;-7.757274927;-13.11820205;-0.851970503
27.91737391;-11.42934898;-20.84574212;-0.467089695;-11.333333;-15.73834053;21.53528783;11.61166065;15.30325014;3.6788373919999997
-0.46385780200000004;28.88332325;-6.026639286;13.78073977;-21.000001;-24.60249871;-24.02906161;-11.87068607;-18.07461402;-10.56072757
-20.024995;2.6875801;20.01668387;-10.15182332;56.000001;-82.16949571;0.125058497;-7.4976313999999995;28.97941461;14.76391861
13.67039518;0.8918623090000001;-4.252749035;-16.2902045;6.666666;-84.89041113;21.65979242;-3.7577641089999996;-3.2701090280000003;8.82185998
18.58121225;-21.97348752;-29.15649005;28.69335642;24.666667;-1.4035102119999998;-16.56576476;25.63353377;-21.48826287;18.64518616
32.87895047;0.9400708440000001;4.485042041;23.765338699999997;-106.0;75.38154324;34.85598770000001;27.42908397;-30.3342355;3.110838751
-4.936832055;28.09761776;-7.146986202999999;0.81716068;22.666667;138.8086049;49.23237491;12.9741103;42.95514017;-13.39147054
12.45015594;-0.8762324640000001;5.13054349;-4.1879273889999995;31.333333000000003;16.92095188;-35.87925736;14.71379273;-7.344839073999999;20.55736915
14.28901776;-10.66729883;2.540803724;-37.33122991;-27.66667;11.27930834;-59.22356825;-37.23395596;10.18576008;11.00757391
-20.06122229;0.0;-12.14766976;-20.76557554;34.33334;1.14887585;7.791637877;-10.00405095;44.61813723;5.635621552000001
2.87943655;-42.74525822;20.53082192;10.51752549;-6.0;-12.82285615;-8.299574707;27.97957146;-27.59595211;-30.31753575
8.66642849;-14.28723314;-16.23259386;14.53447094;43.66666;-30.34241002;-12.12604938;9.187150855;-28.81419023;-4.752531155
10.39233711;12.27717856;-0.17817381100000002;16.64133495;19.66667;-3.4224807719999997;32.31922083;21.00929126;14.53878507;-16.26240226
4.2597531889999996;22.52737234;4.694993643;-8.203880351;-12.33333;19.700157100000002;20.83129899;9.38961093;47.43262521;10.64545941
9.755998914;-57.24033757;-2.119210255;9.476211904;-36.000009999999996;52.79858916;-16.38614148;18.68640562;-23.89063558;-2.702712985
10.12201333;3.2831921680000002;0.353982236;0.53140461;-24.33332;-10.89985698;-2.998065182;16.00600732;-8.455232797;-3.8147428089999997
-4.067674975;12.86974281;8.835788549;-2.337544072;16.66666;-10.07046196;36.66599665;24.19588283;5.15261089;-22.23576297
-2.314165161;5.242539108;4.046090756;15.82636797;22.66666;-13.05298161;-2.423582077;17.53529888;-1.237849037;-0.579290471
12.88975726;6.201674614;-25.09656876;12.66203914;27.66668;-15.92250016;19.62128708;-12.578606;-22.12969152;12.83532582
15.54555724;-23.22552027;-24.54065208;-16.99260659;-64.33334;-56.61606889;-25.07263019;-36.6562881;-9.384680503;-3.382684007
9.192839812999999;12.83532582;22.52921937;2.3575141630000003;40.0;-14.28723304;-10.32534982;-10.86335268;4.255138242;11.71631877
29.53481483;-2.110822946;-9.554077567;9.405532515;3.33333;24.44944242;44.34503712;25.91889331;1.496255172;4.374616398
-6.398224967999999;10.4444575;22.62861006;-10.95647867;-0.66666;63.54538146;3.686662042;-17.57757631;-3.386138438;-9.632388397
4.537111874;31.69974876;17.699699399999997;2.495794664;8.66666;-15.47044576;17.74524708;-19.95094356;12.79721305;1.390338557
-22.980119100000003;-23.53620001;-20.81671404;-19.18446651;-15.66666;-6.524099775;3.5918214410000004;-13.41721315;18.627049;10.41154668
19.36523636;-3.0418397539999997;6.825650476;-64.62653875;19.33333;-2.474234693;-81.97926915;-77.61707686;31.64971081;20.55788365
