# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;IP-MP
# prediction_type;rolling
# method; Part-GFS_te(n_components=15)
"IP-MP";"HStartsACT";"ExrateGBP";"Unum.LPT";"ExrateNZD";"HStartsWA";"Cap.IntPro";"HCE.ITA";"Cons.PurVeh";"ResInv";"HSexfinNum";"HStartsNT";"Gov.NatLoc";"HStartsTotal";"HCE.TelEqu";"ExrateCNY"
18.01512582;1.71961096;-9.583221924;4.046090756;23.73281239;17.53529888;19.22097159;-17.27073873;-1.005165962;20.81142978;17.64860981;-11.05151699;6.285452876;16.74376204;-1.238175783;8.659859321
11.01764567;59.58489866;-6.133027785;-25.09656876;-4.970816019;-12.578606;24.46891697;-3.027268025;5.221571162;-13.13269653;-1.835091797;-29.90494379;-8.123810615;9.621278128;2.047713048;-0.610012274
19.97358368;11.65602506;0.165214492;-24.54065208;-13.54236339;-36.6562881;12.04812284;7.763859097;4.281638246;10.98251051;-14.83310909;-69.02322181;-0.894032144;-11.37339441;-0.828033091;6.744338806
-9.658416922;14.87742433;-1.68839481;22.52921937;-6.615216906;-10.86335268;11.82040661;-6.886008134;36.3032412;13.68392701;5.42478093;-20.50383135;1.94394596;-3.241584498;-0.817982637;-1.136908898
-20.04594805;11.5159469;16.12571036;-9.554077567;-3.247553191;25.91889331;26.97380423;11.87371655;0.697471842;-1.00441092;25.44502527;4.025528776;4.339641405;16.92626193;-0.407123038;17.07255365
24.90430737;-0.448346768;3.774062013;22.62861006;11.82734767;-17.57757631;24.06485862;-2.724552723;0.596866562;2.185868052;-8.740049037;16.99046656;4.083366483;-11.47205524;-0.405885372;3.719486356
24.20250304;-13.99914651;15.2363984;17.6996994;4.416876234;-19.95094356;12.46812131;-4.19205608;17.50400809;8.550641155;-4.102600004;-19.40091912;5.100780751;0.578735981;0;11.15675251
26.02841991;-9.877045036;20.14643817;-20.81671404;-3.860644613;-13.41721315;10.23073672;6.749809236;-7.394280898;15.46228946;-30.79301815;-69.66460886;2.174036549;-15.20050921;-0.405885372;-6.43475989
5.638859902;-3.827780406;16.16696184;6.825650476;26.13228818;-77.61707686;5.913084091;-3.751340341;-11.10500016;7.299254266;-78.02118543;-0.960384615;1.450021877;-71.07640469;0.811770744;4.525294193
2.094245622;-23.0896739;-13.97707047;-14.86294519;2.088156323;-2.232244428;-6.587052237;2.561088115;-49.9257698;8.377883914;-23.67534607;-50.85663785;4.980742757;-29.21613059;-0.00041144;-41.40346989
-27.00080111;30.39436279;-22.24518221;12.04044166;-19.84371486;-16.02936913;5.052915864;-3.943094342;-4.998644999;-6.650428335;27.26640903;75.10648657;2.074831417;15.22948762;0.808487546;-102.9424056
-22.60055344;68.39211083;20.14196161;51.73833456;24.1370986;35.93062942;-0.051239352;-13.2466607;-5.873144234;-13.03171918;78.95715905;28.52116852;2.190800433;58.40193489;-0.003673111;-7.831778565
-0.39428293;28.53327627;24.04758772;-9.602979739;3.888476837;28.64431242;-3.138077956;-1.727127117;-9.865444276;-18.21672074;31.29089297;17.31634179;1.001436794;24.00504676;-0.003650951;65.17388567
-23.14191708;-42.15792826;25.21992971;-4.083710777;-7.674992396;-5.006899414;1.752128542;0.161443771;10.56089505;24.41351639;-8.295471796;-37.47899725;4.220542108;-16.23875152;-1.608445586;35.93194142
9.499672085;-29.75931604;24.54119336;2.40722893;5.225193527;-7.580671696;0.719239855;17.4768077;20.76044015;14.45954777;-37.38029161;-60.48033004;0.697381095;-36.59971786;0.40180817;27.62795185
31.01110957;-54.55450866;18.03439787;6.900141361;8.348000821;-64.15673392;9.635354321;0.230883815;11.91531371;-0.55639281;-70.10658768;-22.25739663;5.197092314;-58.87845013;-0.402212201;-5.060735042
5.253358812;-51.07174615;4.248070075;0.550044208;-8.731142612;-47.41646444;7.79035974;-10.89268284;37.3665879;16.31951803;-28.68911611;-61.11568369;0.676940596;-21.851922;-0.000404844;-10.52286762
2.971230003;-2.510266544;0.567552864;19.76277851;7.875951276;-3.919550567;-2.069224962;-4.342841748;-20.33829534;8.527604209;-7.166827391;-0.847457987;-1.571025367;2.748645866;-1.616569474;15.18220851
-15.08189961;21.12702237;27.79975911;-3.679049793;7.68289989;17.99642547;1.72509663;3.079865269;-19.06119783;-6.195883519;7.681855604;-42.47425865;3.544015809;14.98403325;2.019186519;21.05964094
-7.75970018;-14.59469656;1.773745187;-3.484870679;9.253063427;-2.518265658;10.8199938;8.339516323;22.01624885;8.131564103;-19.51203758;21.5772329;3.067873633;-17.93501319;0.808898152;7.384328182
33.07046767;17.15880787;14.54404818;-17.8948547;-4.286078689;31.95878168;10.81466026;-4.367289042;-35.54358103;7.416178256;5.483981236;-4.042707068;4.738188065;15.04651339;0.804007259;18.71291
