# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;UrateLabForce
# prediction_type;rolling
# method; Part-GFS_te(n_components=12)
"UrateLabForce";"Cap.BioRes";"Cons.Edu";"IP.TCO";"HStartsTotal";"HStartsWA";"Unum.LFT";"HStartsNT";"HSexfinVal";"IP.NMM";"EXrateKRW";"SPASXAllOrds";"Credit.Bus"
4;44.03322984;2.442145567;-40.95431942;1.768783349;15.62089944;31.89476441;25.84030804;11.45567516;24.32360184;2.894123554;9.260377305;-4.498639588
1.66667;-37.3827099;4.008181972;47.65068457;2.119849292;-1.039649478;0.977503512;17.53705515;5.053933163;-11.57187932;-17.6898032;20.43753182;-3.553926653
33.66666;-18.25713714;3.447356744;6.586105206;12.70604066;19.86665382;11.68689224;-9.037890095;21.56035764;13.14204817;4.416503583;35.77120472;1.965242031
-43.66666;-3.671621904;2.900602569;-6.195670817;25.37958863;30.07149086;23.18704713;-15.27898838;14.88382297;-18.85060581;-13.77994937;-3.83936406;0.577042302
-28.66667;-20.60360834;2.022270752;19.42313966;9.733005999;-6.131793838;-1.133257197;2.650269951;10.40757382;-1.646092858;-35.904072;13.77800279;-1.216084865
0.33333;-24.00720389;1.841249304;14.95842334;5.223758171;2.071906639;10.95958965;-20.12029535;21.31257135;15.76757954;-13.82479023;18.02861555;1.586299249
51.66667;-24.07806431;1.620125856;-69.43452794;-2.564792994;-6.479518444;7.277554484;26.8557211;8.936840507;2.765443114;-2.8905921;-1.59943676;2.934129903
-12.33333;-3.420912726;0.170158463;21.15578557;-3.080967644;-19.45733285;3.464746744;8.081083;1.411150213;14.3079536;-3.107149501;7.495704367;-0.955952442
12.33333;14.45940565;1.909311501;31.8305594;0.791859121;-3.358920082;10.5343903;25.70175591;-11.16867653;6.406166129;-4.756632778;5.303225907;0.901595601
-27.33334;-19.39773998;0.211584242;-50.43856565;7.222128449;2.498423113;-4.480810789;-19.56721987;13.70189412;7.407619107;-8.299933043;-8.621977198;0.645840482
