# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;IP-Man
# prediction_type;rolling
# method; Part-GFS_te(n_components=10)
"IP-Man";"HStartsACT";"HStartsVIC";"IP.MP";"Cons.CloFoo";"BusInv";"Unum.LPT";"Cons.InsFin";"COMMP";"IP.WPP";"Unum.LFT"
-3.490085156;-12.04210298;-13.40733472;-6.257110828;7.63705846;5.331218366;-12.14766976;5.179523461;44.61813723;-8.086918041;-4.198289268
-4.307432716;-22.27083823;16.97658544;-6.814474861;6.58554002;7.987708185;20.53082192;0.81025418;-27.59595211;4.352600075;-1.174054296
-1.577911316;-13.37300338;4.833193775;8.163548652;3.621423913;30.99134402;-16.23259386;3.141632136;-28.81419023;-14.09837562;-24.91387489
1.577911316;76.1977594;33.14102182;15.41192287;15.19322594;-0.344147293;-0.178173811;4.871899208;14.53878507;3.867638909;1.106797761
-0.393894665;-8.619334502;17.00302805;-44.2616318;0.945440661;20.27742629;4.694993643;13.66183213;47.43262521;-2.673608171;-1.715053989
3.14034979;18.19375045;-9.891308184;11.88441546;8.255744768;20.41573619;-2.119210255;6.867796494;-23.89063558;-4.797658714;-6.315825786
-7.897591196;-7.255568877;20.36848054;-4.237826573;1.84580216;21.09598745;0.353982236;3.493245994;-8.455232797;-0.6037737;9.276820284
0.398604916;2.497006889;-9.053430181;20.75393415;7.449854262;1.300021457;8.835788549;6.440210676;5.15261089;-7.933135693;-0.604686363
4.752531155;1.71961096;11.99999999;18.01512582;16.23539583;0.577558901;4.046090756;0.202762645;-1.237849037;-6.837773344;-19.8864427
0.393507164;59.58489866;20.06783761;11.01764567;6.456381203;3.819197917;-25.09656876;2.651775978;-22.12969152;7.145821106;-2.36387349
10.48094896;11.65602506;-12.55322205;19.97358368;5.933359718;7.451965444;-24.54065208;15.72120046;-9.384680503;-2.161332931;-7.099991787
