# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;HCE-TelEqu
# prediction_type;rolling
# method; Part-GFS_te(n_components=13)
"HCE-TelEqu";"IP.NMM";"Cons.Hea";"AveComp";"Cons.TraSer";"HCE.MV";"HCE.ParAcc";"Unum.LFT";"Cons.Final";"Cap.MacEqu";"HStartsQLD";"HCE.MaiRep";"Credit.Per";"EXrateIDR"
-0.828033091;-7.604791795;-15.10599009;11.84225936;15.09613119;-2.2824185;-0.491080959;-7.099991787;5.3097325;-9.360032989;-5.088849862;1.815301654;-3.598313037;10.31371683
-0.817982637;15.43720988;15.78894832;5.722235636;19.33198835;-0.003191944;2.321217583;-6.176536619;8.382409828;26.621732;9.033645675;-3.67027058;-1.801106385;5.345705936
-0.407123038;-10.85700716;3.566524;7.705872018;27.78122591;-2.256701073;-0.514777199;-20.7999757;3.575477029;25.85515211;20.76619137;3.172302283;4.659243477;15.21192481
-0.405885372;8.263204648;7.1220985;3.797972452;11.98538729;0.751525261;2.684277307;-10.75702065;5.469490193;7.870396552;-9.268690999;-0.032612961;-0.370698034;21.11001194
0;7.366690714;5.730579848;3.115175058;21.03790262;-0.000355328;-1.007309429;8.908683433;5.965596282;7.96689225;-20.74101483;-0.032031872;-5.662434797;21.4151857
-0.405885372;7.233470173;15.6930083;4.053862007;1.184406195;-1.514075875;0.355589666;-26.59563929;1.83758818;3.082207031;-33.98997471;-0.91155454;-5.678386397;5.218848924
0.811770744;9.562208341;-0.86682461;7.855576969;-8.969730555;-0.390118527;-6.201674614;24.03496968;-2.100186002;13.85806987;-78.74871093;0.856851014;-4.444080829;16.99091154
-0.00041144;0.349803258;11.04806202;-0.052386877;19.28242174;-1.165271499;9.125871106;4.859526422;-1.226324483;-10.9311124;-39.61686146;1.266085928;-8.307292407;-37.47162349
0.808487546;4.519822102;0.575125908;-0.183408119;-22.45302608;-3.537042044;-1.466062573;28.89399344;-1.097966474;-10.6967932;27.98985186;-1.337694868;-6.442417009;-20.28882615
-0.003673111;-27.17756382;-4.546817091;0.261985862;-10.29039772;12.03966252;3.151660422;83.48867989;0.887543631;0.328383454;61.04964756;1.241230416;0.304273657;3.120997478
-0.003650951;-13.16526921;6.68667699;-2.416767055;-16.52863924;-3.513059814;-4.300643622;46.0196691;3.962386861;-4.563488583;20.75814165;-1.309974947;0.849131864;20.08549253
-1.608445586;9.821078802;0.685388078;6.481683804;11.21201673;-0.389621674;-2.894527472;1.868905447;0.786528331;-23.15642731;-14.62371573;-0.028129272;13.61947316;15.6298351
0.40180817;11.04025923;10.4389666;3.356157549;-0.845964362;0.379276439;-3.616297861;-13.4679714;4.07393607;39.83427448;-51.52984624;-1.680558268;4.390727394;10.42603461
-0.402212201;-14.78911516;-3.948258148;4.651809616;1.057176195;-4.218430335;-1.201803608;-21.43630024;1.351573579;-43.1174098;-64.46875601;-1.245888922;0.043926929;-13.35948736
-0.000404844;22.33990117;14.23009567;9.442336867;14.51437742;-0.405941423;0.800398657;-4.755511182;5.5553161;-24.78878552;-25.21463632;2.881725722;-1.668398882;-18.05063587
-1.616569474;-13.4009817;-2.282304793;5.104720801;20.05548668;4.254031253;-0.00040322;-20.21306194;3.512579046;-16.08006372;-8.088118066;-0.434055275;-5.158593886;13.82000506
2.019186519;-4.44449017;9.939068096;5.354832313;13.39488804;-3.101156114;1.205021292;-1.020408748;4.254576679;23.64446924;10.89865348;-10.67669357;1.525232071;28.26393302
0.808898152;1.115760835;7.930084287;5.522628094;5.518184081;-0.0094444;-0.402210581;-7.281715352;2.603698419;10.89423554;-53.90186461;9.473192085;1.149953602;5.952624312
0.804007259;-10.91832491;2.217415813;5.682586397;11.77090851;-1.188898891;-1.203410031;6.194671314;3.055585571;7.684065614;12.82464334;-5.398320455;1.145832897;11.29969031
-2.41854516;-5.766558305;10.67093579;5.556617693;0.955509562;-1.217052074;2.40561605;17.93657557;1.582090143;24.69484471;9.911107291;18.49605847;-5.074170305;-9.093788746
5.21671202;-9.006743714;-5.862772807;2.956816421;8.498401692;1.95910632;-2.003408692;4.98903716;1.03424264;0.097734992;14.11250141;-13.55034615;-3.343859303;9.829149334
-4.012467355;5.115662447;12.13793488;7.681804312;14.11303709;0.790400142;-0.000400801;-1.696586593;5.179941135;2.765750903;22.0326092;1.194581878;3.056475653;16.96501862
-1.995413424;-26.6765498;8.389624273;0.225708165;-1.46830604;3.609833325;1.601202136;-10.58279064;1.688684422;7.194230955;-6.085239392;-0.807965297;2.945406336;-5.575439174
3.989637179;24.32360184;10.65620397;-3.854468098;-9.561752075;-6.025151071;0.39461527;31.89476441;1.745011868;-4.274015891;-2.143267361;7.829394617;-14.1337464;17.78618372
2.743044354;-11.57187932;7.073736771;1.909203011;-3.842824316;2.806172863;-0.799987581;0.977503512;1.224275362;-14.07988496;12.5386627;-8.259208099;15.33562987;2.0704327
-5.52860747;13.14204817;4.780134756;0.702291121;-0.175554095;-4.089532838;-0.398206525;11.68689224;1.210988774;-32.22005191;9.271465545;3.070615312;1.841014054;2.391001041
1.961363906;-18.85060581;0.520813462;0.768839628;-0.761626008;2.004506544;-1.58927362;23.18704713;1.359660155;-1.756147974;27.52089146;-1.182304638;-0.723716742;-19.74922315
-1.177431386;-1.646092858;1.466882231;3.419208762;-4.659788744;-0.027434725;0.794043159;-1.133257197;3.215747092;-6.417659908;3.685262692;-1.912558241;9.404028177;15.78299633
4.273577824;15.76757954;3.704292452;4.14465298;-0.296757933;3.743741262;3.177375604;10.95958965;2.327372415;-25.45640276;9.30227109;2.632075331;-2.900496925;33.24883464
-5.051436152;2.765443114;7.959568438;1.46042094;-14.87924797;0.832031548;-0.412296696;7.277554484;2.168280707;21.61821917;4.869729908;-17.12370447;-9.975722403;-11.29754111
-6.244403355;14.3079536;2.775328524;0.904553487;-6.962102717;-2.498700626;-0.01392285;3.464746744;2.49262585;-11.19001513;0.463860099;13.35364828;2.431025189;14.44846709
0.687417846;6.406166129;2.317656563;4.034458365;1.439638515;-0.00391442;-1.571697713;10.5343903;2.119232318;12.05849147;6.0339314;0.775194041;33.72514587;-4.470143414
5.144444696;7.407619107;6.557048258;-1.814855383;1.932220352;-0.84427547;-1.171684638;-4.480810789;3.21746141;2.439437621;0.75602095;4.609502659;-32.7850797;-14.79320842
